0,Algorithm,Accuracy,F1-Score,F2-Score,Recall,Precision,Informedness,RMSE,removed_item
1,GradientBoostingClassifier,0.948,0.945,0.944,0.944,0.947,0.93,0.229,['r_speed']
2,GradientBoostingClassifier,0.59,0.6,0.624,0.636,0.578,0.528,0.81,"['r_speed', 'mean_rating']"
3,GradientBoostingClassifier,0.947,0.947,0.945,0.944,0.949,0.93,0.231,"['r_speed', 'd_pace_var']"
4,GradientBoostingClassifier,0.948,0.946,0.945,0.944,0.948,0.93,0.229,"['r_speed', 'd_pace_std']"
5,GradientBoostingClassifier,0.947,0.945,0.944,0.943,0.948,0.929,0.231,"['r_speed', 'd_pace_mean']"
6,GradientBoostingClassifier,0.944,0.942,0.941,0.941,0.943,0.926,0.236,"['r_speed', 'd_time_var']"
7,GradientBoostingClassifier,0.945,0.943,0.943,0.943,0.945,0.928,0.234,"['r_speed', 'd_time_std']"
8,GradientBoostingClassifier,0.934,0.936,0.935,0.935,0.938,0.917,0.257,"['r_speed', 'd_time_sum']"
9,GradientBoostingClassifier,0.945,0.943,0.942,0.941,0.945,0.926,0.234,"['r_speed', 'd_distance_var']"
10,GradientBoostingClassifier,0.945,0.943,0.942,0.942,0.945,0.927,0.234,"['r_speed', 'd_distance_std']"
11,GradientBoostingClassifier,0.946,0.944,0.944,0.943,0.946,0.929,0.233,"['r_speed', 'd_distance_sum']"
12,GradientBoostingClassifier,0.948,0.945,0.944,0.944,0.947,0.93,0.229,"['r_speed', 'p_has_objective']"
13,GradientBoostingClassifier,0.941,0.939,0.938,0.937,0.941,0.921,0.243,"['r_speed', 'calories']"
14,GradientBoostingClassifier,0.945,0.942,0.942,0.941,0.944,0.926,0.234,"['r_speed', 'bmi']"
15,GradientBoostingClassifier,0.946,0.944,0.943,0.942,0.946,0.928,0.233,"['r_speed', 'gender']"
16,GradientBoostingClassifier,0.947,0.946,0.945,0.944,0.949,0.929,0.231,"['r_speed', 'weight']"
17,GradientBoostingClassifier,0.945,0.943,0.942,0.942,0.945,0.927,0.234,"['r_speed', 'height']"
18,GradientBoostingClassifier,0.946,0.946,0.945,0.944,0.948,0.929,0.233,"['r_speed', 'age']"
19,GradientBoostingClassifier,0.945,0.943,0.942,0.941,0.945,0.927,0.234,"['r_speed', 'weight_situation']"
20,GradientBoostingClassifier,0.947,0.944,0.944,0.944,0.945,0.929,0.231,"['r_speed', 'p_welldone']"
21,GradientBoostingClassifier,0.949,0.947,0.947,0.946,0.949,0.933,0.225,"['r_speed', 'o_time']"
22,GradientBoostingClassifier,0.942,0.938,0.938,0.938,0.939,0.923,0.242,"['r_speed', 'o_pace']"
23,GradientBoostingClassifier,0.943,0.943,0.941,0.94,0.946,0.925,0.238,"['r_speed', 'r_pace']"
24,GradientBoostingClassifier,0.944,0.943,0.942,0.942,0.944,0.927,0.236,"['r_speed', 'r_distance']"
25,GradientBoostingClassifier,0.947,0.946,0.944,0.943,0.949,0.929,0.231,"['r_time', 'r_speed']"
26,GradientBoostingClassifier,0.946,0.945,0.944,0.943,0.948,0.929,0.233,"['p_running', 'r_speed']"
27,GradientBoostingClassifier,0.946,0.946,0.945,0.945,0.948,0.93,0.233,"['p_walking', 'r_speed']"
28,GradientBoostingClassifier,0.948,0.945,0.944,0.944,0.947,0.93,0.229,"['p_unknown', 'r_speed']"
29,GradientBoostingClassifier,0.944,0.947,0.945,0.944,0.95,0.929,0.236,"['o_distance', 'r_speed']"
30,ExtraTreesClassifier,0.919,0.911,0.916,0.92,0.903,0.899,0.322,['r_speed']
31,ExtraTreesClassifier,0.603,0.619,0.632,0.639,0.604,0.532,0.769,"['r_speed', 'mean_rating']"
32,ExtraTreesClassifier,0.909,0.902,0.907,0.911,0.894,0.887,0.335,"['r_speed', 'd_pace_var']"
