w_id,user_id,trainer_id,o_distance,o_time,o_pace,d_distance_sum,d_distance_std,d_distance_var,d_time_sum,d_time_std,d_time_var,d_pace_mean,d_pace_std,d_pace_var,r_distance,r_speed,r_time,r_pace,p_running,p_walking,p_unknown,p_welldone,p_has_objective,age,height,weight,gender,bmi,weight_situation,calories,workout_date,mean_rating,rating,month,weekday,weeknumber,year,days_from_previous,user_pop,dec_user_pop
141355,12931,4842,2000,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5781.04212859273,9.163975110065905,2114.599,432.909256229818,0.4166666666666667,0.16666666666666666,0.08333333333333333,1.0,0.9166666666666666,33,156,60.0,0,24.654832347140037,4,312,2018-05-11 12:22:16,5.0,5,5,4,19,2018,0,0,0
141357,7108,2,6000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.259802997112,10.595435749742311,2114.873,340.1261203171118,0.5,0.0,0.5,1.0,0.5,60,178,75.0,1,23.671253629592222,4,407,2018-05-11 14:58:12,4.0,4,5,4,19,2018,0,0,0
141412,12508,4198,8400,1800,0.0,-0.07339186745494775,0.0035613896674274873,1.2683496363259269e-05,-0.09333333333333334,0.005681940200710004,3.228444444444444e-05,0.0,0.0,0.0,13226.780266761203,11.31362023734139,4214.0,358.88131920144195,0.96,0.0,0.04,0.125,0.96,42,168,69.0,1,24.44727891156463,4,821,2018-05-11 22:22:41,4.0,4,5,4,19,2018,0,0,0
141408,12752,2,5550,2025,336.42857142857144,-0.09582625205854012,0.005753656690654184,3.3104565313909664e-05,0.12478632478632479,0.021015325218155596,0.0004416438940248465,0.020350225959846875,0.02098843727052996,0.0004405144990589712,5598.865481615315,10.128740846471716,2019.0,358.68619482906263,0.9285714285714286,0.0,0.07142857142857142,0.0,0.9285714285714286,29,174,70.0,1,23.120623596247853,4,423,2018-05-12 06:10:13,4.0,4,5,5,19,2018,0,0,0
141432,418,26,13000,5340,117.5,0.0,0.0,0.0,1.059476022654676,0.3119552007860224,0.09731604729744756,0.01288679449850114,0.018858388671948025,0.00035563882330225756,14591.134419035661,8.005021185836693,4981.001,13467.690156693288,0.625,0.0,0.125,0.42857142857142855,0.875,35,163,70.0,1,26.346494034400994,5,827,2018-05-12 06:39:48,5.0,5,5,5,19,2018,0,0,0
141487,11545,4842,1100,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.5311096198857,6.7706634172361815,2072.174,631.9132032920623,0.42857142857142855,0.42857142857142855,0.14285714285714285,1.0,0.8571428571428571,40,163,71.0,0,26.722872520606725,5,256,2018-05-12 12:17:14,3.0,3,5,5,19,2018,0,0,0
141746,10268,9928,14190,5296,245.2941176470588,-0.2902793113025564,0.007383939360085668,5.4522560473422336e-05,-1.646252985442252,0.08351786266933423,0.00697523338485377,-0.038125324800390846,0.08022542075434362,0.006436118135211468,15496.078841284867,10.934594934344311,5883.0,1217.95487409143,0.9117647058823529,0.0,0.029411764705882353,0.030303030303030304,0.9705882352941176,51,174,73.0,1,24.111507464658473,4,1014,2018-05-13 18:04:53,5.0,5,5,6,19,2018,0,0,0
141749,418,26,20500,7500,175.9090909090909,0.0,0.0,0.0,1.064922405165456,0.28500473401756204,0.08122769841242128,0.0067111277423142135,0.035453400846551984,0.001256943631586293,22183.491745885636,8.885001529155888,7267.438,3958.086390238894,0.7272727272727273,0.0,0.09090909090909091,0.3,0.9090909090909091,35,163,70.0,1,26.346494034400994,5,1258,2018-05-13 18:18:17,4.25,4,5,6,19,2018,1,1,0
141647,11639,5200,15000,4875,162.5,-0.00014490253996906783,7.245126998453392e-05,5.249186522371825e-09,0.018461538461538463,0.009230769230769232,8.520710059171599e-05,0.009301872635782485,0.009301872635782485,8.6524834532319e-05,15454.363478686018,8.219216345080477,5101.0,508.88758327005615,0.5,0.0,0.5,0.0,0.5,47,179,82.0,1,25.592209980961893,5,1141,2018-05-14 14:09:08,4.5,5,5,0,20,2018,0,0,0
141654,11364,4842,3600,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9419.611335641472,6.774777008936017,5623.536,573.8801087225163,0.5,0.0,0.125,1.0,0.875,51,160,58.0,0,22.656249999999996,4,492,2018-05-14 14:57:08,4.0,4,5,0,20,2018,0,0,0
141890,11545,4842,3700,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4211.535298997536,6.787766582644871,2027.9650000000001,688.7565984625836,0.4642857142857143,0.14285714285714285,0.03571428571428571,1.0,0.9642857142857143,40,163,71.0,0,26.722872520606725,5,269,2018-05-14 16:26:06,5.0,5,5,0,20,2018,2,1,0
141900,12095,5200,10000,4070,121.33333333333333,-0.028083297923774585,0.002441959946755133,5.9631683815563316e-06,0.2104958305161145,0.03924134178207082,0.001539882904857297,0.025500871812404177,0.02921905655683788,0.0008537532660716909,13057.336241983208,9.370863689840382,4434.0,657.254753086684,0.4666666666666667,0.0,0.06666666666666667,0.14285714285714285,0.9333333333333333,44,179,74.0,1,23.095409007209515,4,784,2018-05-14 18:23:15,5.0,5,5,0,20,2018,0,0,0
141899,11808,4842,2000,3300,300.0,-0.007381458091299578,0.0022837269154239765,5.215408624231911e-06,0.1661904761904762,0.046862290416053595,0.002196074263038549,0.043378719965985274,0.047730113453792376,0.002278163730311892,6323.8672808964075,6.914738152670537,3284.0,522.2436115146844,0.0,0.75,0.25,0.0,0.75,45,175,75.0,1,24.489795918367346,4,242,2018-05-14 19:09:12,5.0,5,5,0,20,2018,0,0,0
142026,7108,2,6000,1980,165.0,0.0,0.0,0.0,-0.016395959595959568,0.008197979797979784,6.720687276808466e-05,-0.008197979797979869,0.008197979797979869,6.720687276808605e-05,6258.710180098657,10.512684236780263,2102.955,342.59408329572784,0.5,0.0,0.5,0.0,0.5,60,178,75.0,1,23.671253629592222,4,422,2018-05-15 17:14:47,4.75,5,5,1,20,2018,4,1,0
142030,9560,9223,5000,1750,175.0,-0.00028692656866023756,0.00014346328433011878,2.0581713950784504e-08,0.038285714285714284,0.019142857142857142,0.0003664489795918367,0.01928078825677192,0.01928078825677192,0.000371748795802474,5067.270206897925,7.672736445610575,1734.0,555.5803130405258,0.5,0.0,0.5,0.0,0.5,39,170,58.0,0,20.06920415224914,4,265,2018-05-15 17:44:16,4.0,4,5,1,20,2018,0,0,0
142024,9444,31,11900,4834,248.1818181818182,-0.04457497909779308,0.006199273778758002,3.8430995383996517e-05,0.14824050277319256,0.044477547399853844,0.001978252222706245,0.006970581519865903,0.028361029230823856,0.0008043479790316451,13159.715687866748,7.567390441655106,4807.0,1018.2361531530394,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.0,0.9090909090909091,43,180,74.0,1,22.839506172839506,4,839,2018-05-15 23:33:22,5.0,5,5,1,20,2018,0,0,0
142041,13052,4842,3200,1200,0.0,-0.1267331279843531,0.01042456303735903,0.00010867151451987215,-0.15111111111111114,0.017230126796581882,0.0002968772694262891,0.0,0.0,0.0,6183.216564133966,8.363611262291256,2310.0,492.7396236618948,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.0625,0.9411764705882353,30,165,59.0,0,21.6712580348944,4,297,2018-05-16 05:26:26,5.0,5,5,2,20,2018,0,0,0
142152,11545,4842,4100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5043.291387155652,6.637256766943175,2507.075,587.5859078536613,0.42857142857142855,0.42857142857142855,0.14285714285714285,1.0,0.8571428571428571,40,163,71.0,0,26.722872520606725,5,322,2018-05-16 16:55:49,5.0,5,5,2,20,2018,2,2,0.75
