,trainer,rank,users,women,men,accuracy,f2,recall,precision,informedness,ndcg,dtr,dpr,dtr_ndcg,dtr_dtr,dtr_dpr,dpr_ndcg,dpr_dtr,dpr_dpr
94,5201,5.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
95,5201,6.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
96,5201,7.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
97,5201,8.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
98,5201,9.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
99,5201,10.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
100,33,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
101,33,2.0,1,0,1,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
102,33,3.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.164,1.77,1.0,1.164,1.77,1.0,1.164,1.77
103,33,4.0,5,1,4,0.8,0.767,0.8,0.7,0.688,1.0,1.052,1.09,1.0,1.052,1.09,1.0,1.052,1.09
104,33,5.0,5,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.052,1.09,1.0,1.052,1.09,1.0,1.052,1.09
105,33,6.0,5,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.346,2.053,1.0,1.346,2.053,0.7964955067113835,0.612,0.605
106,33,7.0,5,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.033,1.09,1.0,1.033,1.09,1.0,1.033,1.09
107,33,8.0,5,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.033,1.09,1.0,1.033,1.09,1.0,1.033,1.09
108,33,9.0,6,2,4,1.0,1.0,1.0,1.0,1.0,1.0,0.903,1.041,1.0,0.903,1.041,1.0,0.903,1.041
109,33,10.0,6,2,4,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.041,1.0,0.94,1.041,1.0,0.94,1.041
110,57,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
111,57,2.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
112,57,3.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
113,57,4.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
114,57,5.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
115,57,6.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
116,57,7.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
117,57,8.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,57,9.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,57,10.0,2,0,2,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
120,41,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
121,41,2.0,1,0,1,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
122,36,1.0,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,36,2.0,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,36,3.0,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,36,4.0,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,36,5.0,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,36,6.0,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
128,36,7.0,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,36,8.0,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
