,trainer,rank,users,women,men,accuracy,f2,recall,precision,informedness,ndcg,dtr,dpr,dtr_ndcg,dtr_dtr,dtr_dpr,dpr_ndcg,dpr_dtr,dpr_dpr
175,2588,5.0,2,1,1,1.0,1.0,1.0,1.0,0.0,,1.585,1.585,,0.631,0.631,,0.631,0.631
176,2588,6.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.001,0.841,1.0,1.001,0.841,1.0,1.001,0.841
177,2588,7.0,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.262,0.841,1.0,1.262,0.841,1.0,1.262,0.841
178,2588,8.0,5,2,3,1.0,1.0,1.0,1.0,1.0,1.0,0.915,0.932,1.0,0.915,0.932,1.0,0.915,0.932
179,2588,9.0,5,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.152,1.553,1.0,1.152,1.553,0.9673372223223712,1.227,1.413
180,2588,10.0,7,3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.19,1.436,0.939762601935586,1.174,1.226,0.939762601935586,1.174,1.226
181,4385,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
182,4385,2.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
183,4385,3.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
184,4385,4.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
185,4385,5.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
186,4385,6.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
187,4385,7.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
188,4385,8.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
189,4385,9.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
190,4385,10.0,2,0,2,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
191,5204,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
192,5204,2.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
193,5204,3.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
194,5204,4.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
195,5204,5.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
196,5204,6.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,5204,7.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,5204,8.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
199,5204,9.0,4,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,5204,10.0,4,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
201,9929,1.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
202,9929,2.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
203,9929,3.0,4,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204,9929,4.0,6,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.947,0.891,1.0,0.947,0.891,1.0,0.947,0.891
205,9929,5.0,7,2,5,1.0,1.0,1.0,1.0,1.0,1.0,0.949,0.932,1.0,0.949,0.932,1.0,0.949,0.932
206,9929,6.0,9,2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.081,1.164,1.0,1.081,1.164,1.0,1.081,1.164
207,9929,7.0,10,2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.221,1.0,1.125,1.221,1.0,1.125,1.221
208,9929,8.0,11,2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.203,1.0,1.125,1.203,1.0,1.125,1.203
209,9929,9.0,12,2,10,1.0,1.0,1.0,1.0,1.0,1.0,1.192,1.318,1.0,1.192,1.318,1.0,1.192,1.318
210,5203,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
211,5203,2.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
212,5203,3.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
213,5203,4.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
214,5203,5.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
215,5203,6.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
216,5203,7.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
217,5203,8.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,5203,9.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
219,5673,1.0,1,0,1,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
220,5673,2.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,5673,3.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
222,5673,4.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
223,5673,5.0,4,0,4,0.75,0.736,0.75,0.875,0.722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
224,5673,6.0,4,0,4,0.75,0.736,0.75,0.875,0.722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,5673,7.0,4,0,4,0.75,0.708,0.75,0.625,0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
226,5673,8.0,4,0,4,0.75,0.708,0.75,0.625,0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
227,14490,1.0,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
228,14490,2.0,2,2,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
229,14490,3.0,2,2,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
